town,date,accumulated_tested,accumulated_cases,lag7_accumulated_tested,lag7_accumulated_cases,town_code,n_2019,P,N,lag7_N,G,score
חיפה,2020-07-20,10533,466,7554,220,4000,285316,0.08257804632426989,8.622019094617897,3.4347880946038782,2.510204081632653,6.005369661275657
חיפה,2020-07-21,10693,515,7616,234,4000,285316,0.09132271693207669,9.848729128404997,3.6801301013612977,2.6761904761904765,6.267546402331879
חיפה,2020-07-22,10774,532,8125,270,4000,285316,0.09890524726311815,9.182800824349144,4.521302695958165,2.031007751937985,5.646759613497016
חיפה,2020-07-23,10904,561,8506,306,4000,285316,0.10633861551292743,8.937458817591724,5.607817297312454,1.5937500000000002,5.135723086975919
חיפה,2020-07-24,10985,570,9269,355,4000,285316,0.1252913752913753,7.535504493263609,6.9396739054241605,1.0858585858585859,4.2000291999345185
חיפה,2020-07-25,11046,589,9705,389,4000,285316,0.14914243102162567,7.009771621640567,7.7808465000210285,0.900900900900901,3.7572278948064337
חיפה,2020-07-26,11083,594,10074,416,4000,285316,0.17641228939544104,6.238696743260105,8.06123736488665,0.7739130434782611,3.340231324233474
חיפה,2020-07-27,11217,638,10533,466,4000,285316,0.25146198830409355,6.028403594610887,8.622019094617897,0.6991869918699186,3.1122408621428237
חיפה,2020-07-28,11336,656,10693,515,4000,285316,0.2192846034214619,4.941888993256599,9.848729128404997,0.5017793594306049,2.2459686629238744
חיפה,2020-07-29,11457,682,10774,532,4000,285316,0.21961932650073207,5.257328716230425,9.182800824349144,0.5725190839694656,2.571657045608344
חיפה,2020-07-30,11900,715,10904,561,4000,285316,0.15461847389558234,5.397524148663237,8.937458817591724,0.6039215686274509,2.6966457811901616
חיפה,2020-07-31,11962,721,10985,570,4000,285316,0.15455475946775846,5.292377574338628,7.535504493263609,0.702325581395349,2.9788705541520963
חיפה,2020-08-01,11976,722,11046,589,4000,285316,0.14301075268817204,4.661498128390977,7.009771621640567,0.6649999999999999,2.741276750684388
חיפה,2020-08-02,12003,724,11083,594,4000,285316,0.14130434782608695,4.556351554066368,6.238696743260105,0.7303370786516853,2.905687049290016
