סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
80        ,נהלל                     ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,1115      ,109       ,237       ,397       ,105       ,100       ,167
82        ,עין חרוד )מאוחד(         ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,943       ,51        ,184       ,303       ,119       ,72        ,214
84        ,תל יוסף                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,562       ,39        ,152       ,155       ,72        ,38        ,106
85        ,כפר יחזקאל               ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1126      ,95        ,302       ,379       ,152       ,57        ,141
86        ,גבע                      ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,721       ,53        ,118       ,244       ,91        ,68        ,147
88        ,כרם בן שמן               ,43        ,רמלה                     ,43        ,רמלה                     ,25        ,חבל מודיעין              ,82        ,6         ,20        ,18        ,10        ,7         ,21
89        ,עין חרוד )איחוד(         ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,740       ,47        ,129       ,223       ,86        ,74        ,181
90        ,חפצי-בה                  ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,849       ,60        ,187       ,269       ,100       ,64        ,169
92        ,גיניגר                   ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,804       ,52        ,167       ,257       ,96        ,81        ,151
94        ,בלפוריה                  ,23        ,עפולה                    ,23        ,עפולה                    ,9         ,עמק יזרעאל               ,614       ,48        ,148       ,205       ,83        ,38        ,92
95        ,בית אלפא                 ,23        ,עפולה                    ,23        ,עפולה                    ,8         ,הגלבוע                   ,1181      ,86        ,211       ,414       ,113       ,103       ,254
96        ,יגור                     ,31        ,חיפה                     ,31        ,חיפה                     ,12        ,זבולון                   ,1888      ,131       ,333       ,711       ,251       ,117       ,345
